status,id,title,year,director,studio,description,accolades,notes
# ─── ALREADY LIVE (8 films) ─────────────────────────────────────────────
LIVE,avengers,Avengers: Age of Ultron,2015,Joss Whedon,Marvel Studios,Thunderous brass and choir with soaring new Avengers theme — recorded at Capitol Studios and Abbey Road.,ASCAP Top Box Office Film,Images + Spotify populated
LIVE,ironman3,Iron Man 3,2013,Shane Black,Marvel Studios,Bold 9-note horn motif recorded at Abbey Road Studios — blockbuster power meeting intimate character texture.,BMI Film & TV Award; ASCAP Film Award,Images + Spotify populated
LIVE,mario,The Super Mario Bros. Movie,2023,Aaron Horvath & Michael Jelenic,Illumination / Universal / Nintendo,98% original orchestral music woven with Koji Kondo's legendary game themes as Easter eggs throughout.,"Annie Award nom. — Music in Animation; $1.36B box office",Images + Spotify populated
LIVE,fastx,Fast X,2023,Louis Leterrier,Universal Pictures,Propulsive score introducing villain Dante's theme — his fifth Fast & Furious instalment pushing the franchise's sonic identity to new extremes.,BMI Film & TV Award,Images + Spotify populated
LIVE,crazrich,Crazy Rich Asians,2018,Jon M. Chu,Warner Bros. Pictures,Blends jazz big band (35 musicians) with a 65-piece orchestral love theme featuring the erhu — a genre-bridging score shortlisted for the Oscar.,2019 Oscar Shortlist — Best Score; IFMCA nom.,Images + Spotify populated
LIVE,yellowstone,Yellowstone,2018,Taylor Sheridan,Paramount Network,Melancholy impressionistic chamber music — Sheridan played Tyler's music on set before shooting; five seasons of wide-open Americana.,SoundTrackFest Award — Best TV Score 2018; Emmy nom.,Images + Spotify populated
LIVE,furious7,Furious 7,2015,James Wan,Universal Pictures,Paul Walker's death mid-production transformed the score into a tribute — emotionally the most complex entry in the franchise.,"Brian/Mia Theme; BMI Award",Images + Spotify populated
LIVE,nuremberg,Nuremberg,2025,James Vanderbilt,Sony Pictures,Powerful biographical drama — Tyler described it as changing his perspective; sweeping score recorded with full orchestra. Released on Sony Classical.,Sony Classical release,Images + Spotify populated
# ─── NEW FILMS ───────────────────────────────────────────────────────────
NEW,frailty,Frailty,2001,Bill Paxton,Lions Gate Films,"Tyler's breakthrough score. Dark psychological thriller — tense, intimate orchestral writing that brought him to Hollywood's attention.",World Soundtrack Award nom. 2002,
NEW,thehunted,The Hunted,2003,William Friedkin,Paramount Pictures,Friedkin approached Tyler directly after hearing Frailty. Intense orchestral and ambient sound design underlining psychological tension between hunter and hunted.,World Soundtrack Award — Best New Film Composer 2003,
NEW,constantine,Constantine,2005,Francis Lawrence,Warner Bros. / DC Comics,Co-composed with Klaus Badelt — Tyler wrote the fully orchestral dark score and conducted the final combined score at Abbey Road.,ASCAP Film Award,Co-composer: Klaus Badelt
NEW,tokyodrift,The Fast and the Furious: Tokyo Drift,2006,Justin Lin,Universal Pictures,Tyler's franchise entry point — established the orchestral foundation and driving thematic motifs the series would build on for nearly 20 years.,BMI Film & TV Award,
NEW,war,War,2007,Philip G. Atwell,Lions Gate Films,Stylish action thriller — Tyler conducted the London Symphony Orchestra at Lyndhurst Studios for this Jet Li / Jason Statham vehicle.,,Also known as Rogue
NEW,avprequiem,Aliens vs. Predator: Requiem,2007,The Brothers Strause,20th Century Fox,Fully orchestral score referencing classic themes from the Alien and Predator franchises — performed by the Hollywood Studio Symphony.,,
NEW,eagleeye,Eagle Eye,2008,D.J. Caruso,DreamWorks / Paramount,88-piece orchestra at Sony Scoring Stage plus 140 pre-recorded elements including Moroccan percussion and taiko drums — propulsive kinetic thriller score.,,First Tyler / D.J. Caruso collaboration
NEW,rambo,Rambo,2008,Sylvester Stallone,Lions Gate Films,Tyler incorporated Jerry Goldsmith's original Rambo themes as homage — continuing Goldsmith's established vocabulary while adding his own material.,,Also known as John Rambo
NEW,fastfurious4,Fast & Furious,2009,Justin Lin,Universal Pictures,First full franchise entry where Tyler introduced core character themes — Letty's theme and Dom's theme — laying the emotional foundation for the entire saga.,,Fast & Furious 4
NEW,lawabidingcitizen,Law Abiding Citizen,2009,F. Gary Gray,Overture Films,"Tense noir score — Tyler performed electric cello and piano himself; recorded with 52-piece ensemble. Director Gray called it ""a CLASSIC score.""",ASCAP Film & TV Music Award 2010,
NEW,expendables,The Expendables,2010,Sylvester Stallone,Lions Gate Films,80-piece Czech Philharmonic orchestra over three months — prioritised redemption and emotion over pure action; melancholy undercurrent beneath the martial rhythms.,,
NEW,battlela,Battle: Los Angeles,2011,Jonathan Liebesman,Columbia / Sony Pictures,Large choir and Hollywood Studio Symphony at Streisand Scoring Stage — Tyler also layered pre-recorded material from his home studio.,BMI Film & TV Award,
NEW,fast5,Fast Five,2011,Justin Lin,Universal Pictures,The instalment where the team dynamic became the franchise's identity — Tyler described it as the film that proved the series had elevated to a new level.,,
NEW,finaldestination5,Final Destination 5,2011,Steven Quale,Warner Bros. / New Line Cinema,Tyler's second Final Destination score — continued the franchise tone after taking over from Shirley Walker.,ASCAP Film Award,
NEW,expendables2,The Expendables 2,2012,Simon West,Lions Gate Films,Second entry in the action-ensemble franchise — expanded orchestral scoring continuing Tyler's established thematic work.,,
NEW,nowyouseeme,Now You See Me,2013,Louis Leterrier,Summit / Lionsgate,Kinetic orchestral score matching the film's illusionist energy — propulsive writing capturing the sleight-of-hand heist thriller tone.,,
NEW,thordarkworld,Thor: The Dark World,2013,Alan Taylor,Marvel Studios,Tyler's second MCU score and the film for which he composed the Marvel Studios fanfare used in all MCU films 2013–2016.,BAFTA Award nom. — Best Score 2014,Marvel Studios fanfare composer
NEW,tmnt2014,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,Paramount / Nickelodeon,"Full orchestral and choral scoring — Tyler also co-wrote the end-credits single ""Shell Shocked"" (as Madsonik) with Wiz Khalifa.",BMI Film & TV Award,
NEW,expendables3,The Expendables 3,2014,Patrick Hughes,Lions Gate Films,Tyler's most full-throttle Expendables entry — the third and final instalment in the franchise.,,
NEW,nowyouseeme2,Now You See Me 2,2016,Jon M. Chu,Summit / Lionsgate,Sequel returning with the same kinetic illusionist-heist orchestral energy of the original.,,
NEW,fateoffurious,The Fate of the Furious,2017,F. Gary Gray,Universal Pictures,Darker orchestral underpinning reflecting themes of betrayal and vengeance — Tyler's second collaboration with director F. Gary Gray.,,
NEW,mummy2017,The Mummy,2017,Alex Kurtzman,Universal Pictures,"Two-plus hours recorded with 84-piece orchestra and 32-voice choir at Abbey Road — choir sang Egyptian phrases; six interlocking themes. Director: ""classical but contemporary, lyrical and full of romance.""",,
NEW,powerrangers2017,Saban's Power Rangers,2017,Dean Israelite,Lionsgate / Saban,Orchestral score for the superhero-origin reboot — Tyler captured the scale and mythology of the franchise for a new generation.,,
NEW,xxx3,xXx: Return of Xander Cage,2017,D.J. Caruso,Paramount Pictures,High-energy global action score — co-composed with Robert Lydecker in Tyler's second collaboration with director D.J. Caruso.,,Co-composer: Robert Lydecker
NEW,readyornot,Ready or Not,2019,Matt Bettinelli-Olpin & Tyler Gillett,Fox Searchlight,Dark horror-comedy — Tyler's first collaboration with Radio Silence directors; score walks the line between menace and black humour.,89% on Rotten Tomatoes,
NEW,escaperoom,Escape Room,2019,Adam Robitel,Sony Pictures,Psychological thriller — co-composed with John Carey; claustrophobic tension throughout.,,Co-composer: John Carey
NEW,fivefeetapart,Five Feet Apart,2019,Justin Baldoni,CBS Films / Roadside Attractions,Emotionally-driven orchestral score — co-composed with Breton Vivian in Tyler's first collaboration with director Baldoni.,,Co-composer: Breton Vivian
NEW,rambolastblood,Rambo: Last Blood,2019,Adrián Grünberg,Lionsgate / Millennium,Tyler returned for the fifth and final Rambo instalment — recorded at Slovak Radio Concert Hall; released by Lakeshore Records.,,
NEW,clouds,Clouds,2020,Justin Baldoni,Walt Disney Pictures (Disney+),Emotionally resonant biographical drama — Tyler and Baldoni's second collaboration; score carries the warmth and grief of the real story.,,
NEW,f9,F9: The Fast Saga,2021,Justin Lin,Universal Pictures,Tyler focused on Toretto family mythology — incorporated material from Tokyo Drift (his 2006 franchise debut) alongside new compositions for the film's space sequences.,,Fast & Furious 9
NEW,escaperoom2,Escape Room: Tournament of Champions,2021,Adam Robitel,Sony Pictures,Sequel — Tyler and John Carey returned with the same claustrophobic psychological approach.,,Co-composer: John Carey
NEW,thosewho,Those Who Wish Me Dead,2021,Taylor Sheridan,Warner Bros. / New Line Cinema,"Tyler and Sheridan's film collaboration alongside Yellowstone — Tyler described capturing ""two lost souls searching for deliverance.""",,
NEW,scream2022,Scream,2022,Matt Bettinelli-Olpin & Tyler Gillett,Paramount / Spyglass Media,Tyler replaced Marco Beltrami as franchise composer — dark orchestral approach honouring Wes Craven's legacy.,,Radio Silence directors (2nd collab)
NEW,chipndale,Chip 'n Dale: Rescue Rangers,2022,Akiva Schaffer,Walt Disney Pictures (Disney+),Animated/live-action hybrid comedy — Tyler's Disney+ feature balancing nostalgia and contemporary energy.,,
NEW,redeeminglove,Redeeming Love,2022,D.J. Caruso,Universal Pictures,Biblical romantic drama — Tyler and Caruso's third collaboration; sweeping orchestral score built around themes of redemption and grace.,,Co-composer: Breton Vivian
NEW,scream6,Scream VI,2023,Matt Bettinelli-Olpin & Tyler Gillett,Paramount / Spyglass Media,Tyler's second Scream franchise entry — co-composed with Sven Faulconer with Radio Silence directors.,Third Tyler / Radio Silence collab,Co-composer: Sven Faulconer
NEW,nowyouseeme3,Now You See Me: Now You Don't,2025,Ruben Fleischer,Summit / Lionsgate,Tyler returned for the third instalment of the illusionist heist franchise.,,
NEW,transformersone,Transformers One,2024,Josh Cooley,Paramount / Hasbro,Animated origin story of Optimus Prime and Megatron — Tyler's score captured the mythic scale of the Transformers universe.,89% on Rotten Tomatoes,
NEW,abigail,Abigail,2024,Matt Bettinelli-Olpin & Tyler Gillett,Universal / Blumhouse,Vampire horror-comedy — Tyler's third collaboration with Radio Silence; score plays into the genre-blending black humour.,,
